DATE,CLVMNACSCAB1GQNL
2012-07-01,160448.5
2012-10-01,159325.8
2013-01-01,159840.3
2013-04-01,159551.4
2013-07-01,160513.6
2013-10-01,161532.4
2014-01-01,161379.3
2014-04-01,162324.1
2014-07-01,162729.9
2014-10-01,164187.4
2015-01-01,165165.0
2015-04-01,165673.9
2015-07-01,166244.3
2015-10-01,166271.5
2016-01-01,167799.4
2016-04-01,168194.5
2016-07-01,170072.1
2016-10-01,171496.4
2017-01-01,172396.2
2017-04-01,173912.5
2017-07-01,175156.7
2017-10-01,176482.8
2018-01-01,177272.9
2018-04-01,178411.5
2018-07-01,178846.3
2018-10-01,179582.5
2019-01-01,180839.3
2019-04-01,181597.9
2019-07-01,182313.4
2019-10-01,183032.9
2020-01-01,180325.7
2020-04-01,166072.0
2020-07-01,176591.6
2020-10-01,176561.2
2021-01-01,176569.5
2021-04-01,183137.5
2021-07-01,186394.1
2021-10-01,187522.2
2022-01-01,188122.0
2022-04-01,192643.6
2022-07-01,192230.6
