DATE,IRSTCI01NLM156N
2012-07-01,0.13120000000000000000
2012-10-01,0.08086666666666666667
2013-01-01,0.06790000000000000000
2013-04-01,0.08196666666666666667
2013-07-01,0.08513333333333333333
2013-10-01,0.12166666666666666667
2014-01-01,0.18156666666666666667
2014-04-01,0.19256666666666666667
2014-07-01,0.02260000000000000000
2014-10-01,-0.01540000000000000000
2015-01-01,-0.04566666666666666667
2015-04-01,-0.09960000000000000000
2015-07-01,-0.12490000000000000000
2015-10-01,-0.15753333333333333333
2016-01-01,-0.25560000000000000000
2016-04-01,-0.33610000000000000000
2016-07-01,-0.33686666666666666667
2016-10-01,-0.34856666666666666667
2017-01-01,-0.35260000000000000000
2017-04-01,-0.35816666666666666667
2017-07-01,-0.35780000000000000000
2017-10-01,-0.35016666666666666667
2018-01-01,-0.36366666666666666667
2018-04-01,-0.36333333333333333333
2018-07-01,-0.36180000000000000000
2018-10-01,-0.36260000000000000000
2019-01-01,-0.36730000000000000000
2019-04-01,-0.36506666666666666667
2019-07-01,-0.37706666666666666667
2019-10-01,-0.45723333333333333333
2020-01-01,-0.45160000000000000000
2020-04-01,-0.45633333333333333333
2020-07-01,-0.46720000000000000000
2020-10-01,-0.47106666666666666667
2021-01-01,-0.47876666666666666667
2021-04-01,-0.48003333333333333333
2021-07-01,-0.48303333333333333333
2021-10-01,-0.48860000000000000000
2022-01-01,-0.58000000000000000000
2022-04-01,-0.58000000000000000000
2022-07-01,-0.13666666666666666667
